id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9
-0.009,-0.09,-0.109,0.005,-0.088,-0.047,-0.103,-0.089,0.039
-0.019,-0.126,-0.151,-0.002,-0.121,-0.065,-0.144,-0.123,0.041
-0.023,-0.135,-0.174,0.003,-0.13,-0.076,-0.158,-0.141,0.052
-0.03,-0.129,-0.172,0.013,-0.135,-0.069,-0.154,-0.146,0.064
-0.03,-0.131,-0.173,0.024,-0.127,-0.06,-0.146,-0.14,0.065
-0.043,-0.148,-0.195,0.024,-0.142,-0.076,-0.163,-0.164,0.069
-0.051,-0.14,-0.199,0.026,-0.145,-0.069,-0.156,-0.167,0.07
-0.051,-0.126,-0.184,0.033,-0.131,-0.067,-0.14,-0.165,0.077
-0.064,-0.139,-0.202,0.034,-0.135,-0.065,-0.155,-0.182,0.082
-0.073,-0.129,-0.203,0.045,-0.133,-0.063,-0.146,-0.173,0.092
-0.073,-0.114,-0.198,0.053,-0.118,-0.052,-0.129,-0.167,0.089
-0.086,-0.122,-0.204,0.056,-0.129,-0.056,-0.128,-0.18,0.093
-0.094,-0.111,-0.201,0.056,-0.127,-0.055,-0.126,-0.179,0.102
-0.095,-0.108,-0.197,0.063,-0.115,-0.046,-0.113,-0.177,0.1
-0.107,-0.104,-0.21,0.065,-0.121,-0.047,-0.108,-0.186,0.103
-0.106,-0.092,-0.2,0.083,-0.099,-0.037,-0.095,-0.176,0.111
-0.115,-0.08,-0.187,0.083,-0.096,-0.037,-0.083,-0.173,0.109
-0.127,-0.081,-0.19,0.084,-0.099,-0.028,-0.083,-0.177,0.12
-0.128,-0.071,-0.181,0.092,-0.09,-0.017,-0.064,-0.178,0.128
-0.136,-0.06,-0.179,0.101,-0.078,-0.017,-0.06,-0.179,0.128
-0.147,-0.057,-0.179,0.101,-0.077,-0.016,-0.05,-0.18,0.127
-0.149,-0.05,-0.173,0.109,-0.068,-0.008,-0.041,-0.173,0.135
-0.158,-0.048,-0.171,0.109,-0.068,-0.007,-0.028,-0.171,0.135
-0.159,-0.028,-0.158,0.117,-0.057,0.002,-0.017,-0.17,0.142
-0.17,-0.028,-0.161,0.117,-0.048,0.002,-0.017,-0.175,0.134
-0.17,-0.018,-0.161,0.125,-0.037,0.011,0.003,-0.164,0.141
-0.169,-0.007,-0.149,0.132,-0.025,0.02,0.015,-0.152,0.148
-0.18,-0.007,-0.153,0.132,-0.026,0.021,0.015,-0.163,0.148
-0.18,0.003,-0.141,0.14,-0.017,0.03,0.024,-0.154,0.155
-0.187,0.013,-0.128,0.146,-0.005,0.03,0.034,-0.152,0.154
-0.201,0.013,-0.14,0.147,-0.005,0.03,0.045,-0.155,0.154
-0.201,0.022,-0.131,0.145,-0.006,0.038,0.054,-0.144,0.161
-0.199,0.031,-0.119,0.152,0.004,0.047,0.063,-0.143,0.159
-0.211,0.04,-0.111,0.16,0.013,0.047,0.073,-0.135,0.168
-0.213,0.05,-0.11,0.167,0.022,0.056,0.081,-0.134,0.167
-0.211,0.059,-0.099,0.166,0.032,0.064,0.09,-0.125,0.174
-0.212,0.059,-0.09,0.174,0.041,0.065,0.1,-0.124,0.174
-0.23,0.059,-0.097,0.172,0.033,0.064,0.1,-0.124,0.172
-0.232,0.067,-0.088,0.171,0.041,0.064,0.107,-0.124,0.171
-0.232,0.076,-0.087,0.177,0.05,0.072,0.116,-0.123,0.177
-0.242,0.076,-0.08,0.177,0.058,0.072,0.124,-0.116,0.177
-0.244,0.084,-0.079,0.183,0.058,0.079,0.123,-0.115,0.183
-0.245,0.1,-0.061,0.19,0.075,0.087,0.139,-0.096,0.19
-0.247,0.101,-0.061,0.191,0.084,0.096,0.148,-0.096,0.191
-0.247,0.109,-0.051,0.198,0.084,0.096,0.156,-0.096,0.191
-0.255,0.108,-0.049,0.196,0.092,0.096,0.162,-0.095,0.196
-0.259,0.117,-0.042,0.196,0.092,0.104,0.163,-0.088,0.197
-0.267,0.117,-0.04,0.203,0.1,0.104,0.17,-0.086,0.196
-0.269,0.123,-0.031,0.201,0.1,0.103,0.176,-0.086,0.194
-0.28,0.124,-0.031,0.201,0.108,0.11,0.176,-0.087,0.195
-0.274,0.14,-0.023,0.208,0.116,0.119,0.192,-0.07,0.209
-0.283,0.139,-0.013,0.208,0.124,0.119,0.191,-0.068,0.208
-0.285,0.14,-0.012,0.214,0.124,0.119,0.198,-0.068,0.208
-0.287,0.147,-0.012,0.213,0.124,0.118,0.205,-0.069,0.207
-0.287,0.154,-0.004,0.221,0.139,0.134,0.212,-0.06,0.215
-0.289,0.155,0.005,0.221,0.14,0.135,0.213,-0.05,0.215
-0.301,0.162,0.006,0.22,0.139,0.134,0.219,-0.05,0.215
-0.302,0.161,0.006,0.22,0.147,0.134,0.218,-0.05,0.214
-0.302,0.17,0.014,0.227,0.155,0.142,0.232,-0.04,0.222
-0.308,0.17,0.023,0.227,0.155,0.142,0.232,-0.041,0.215
-0.317,0.17,0.024,0.221,0.162,0.142,0.232,-0.041,0.215
-0.309,0.177,0.032,0.228,0.17,0.15,0.245,-0.031,0.222
-0.324,0.185,0.032,0.228,0.17,0.15,0.246,-0.032,0.223
-0.325,0.185,0.033,0.228,0.171,0.151,0.246,-0.031,0.223
-0.316,0.192,0.041,0.235,0.178,0.158,0.258,-0.023,0.23
-0.328,0.193,0.041,0.23,0.178,0.159,0.259,-0.023,0.224
-0.331,0.193,0.051,0.23,0.186,0.159,0.259,-0.022,0.225
-0.332,0.199,0.058,0.236,0.192,0.166,0.265,-0.014,0.231
-0.336,0.2,0.059,0.231,0.193,0.16,0.266,-0.014,0.232
-0.34,0.209,0.069,0.24,0.202,0.169,0.274,-0.004,0.235
-0.34,0.209,0.069,0.239,0.202,0.169,0.273,-0.004,0.234
-0.343,0.202,0.069,0.233,0.202,0.169,0.273,-0.004,0.234
-0.347,0.211,0.078,0.242,0.211,0.178,0.282,0.005,0.236
-0.348,0.211,0.078,0.236,0.21,0.171,0.281,0.005,0.236
-0.35,0.211,0.079,0.236,0.21,0.171,0.281,0.006,0.23
-0.356,0.219,0.087,0.238,0.219,0.179,0.289,0.014,0.238
-0.356,0.219,0.088,0.238,0.219,0.18,0.289,0.015,0.238
-0.348,0.221,0.097,0.241,0.221,0.182,0.297,0.025,0.241
-0.363,0.222,0.09,0.241,0.221,0.182,0.297,0.017,0.241
-0.364,0.222,0.09,0.235,0.221,0.183,0.297,0.017,0.235
-0.357,0.23,0.098,0.237,0.229,0.184,0.304,0.026,0.243
-0.371,0.224,0.099,0.238,0.23,0.185,0.305,0.026,0.238
-0.373,0.224,0.1,0.233,0.231,0.186,0.299,0.027,0.238
-0.367,0.231,0.107,0.234,0.231,0.186,0.306,0.035,0.239
-0.37,0.226,0.109,0.235,0.232,0.187,0.307,0.036,0.235
-0.37,0.236,0.119,0.239,0.242,0.191,0.316,0.038,0.244
-0.376,0.235,0.111,0.233,0.242,0.19,0.309,0.037,0.238
-0.381,0.229,0.111,0.227,0.235,0.184,0.309,0.037,0.238
-0.37,0.239,0.121,0.231,0.245,0.194,0.319,0.048,0.242
-0.373,0.232,0.121,0.225,0.245,0.194,0.313,0.048,0.235
-0.386,0.232,0.121,0.225,0.239,0.187,0.312,0.041,0.235
-0.381,0.236,0.124,0.229,0.249,0.19,0.322,0.05,0.239
-0.384,0.236,0.124,0.223,0.248,0.19,0.316,0.05,0.233
-0.386,0.229,0.124,0.217,0.242,0.184,0.316,0.051,0.233
-0.38,0.239,0.134,0.221,0.252,0.194,0.32,0.053,0.237
-0.382,0.233,0.135,0.216,0.246,0.188,0.32,0.053,0.231
-0.384,0.233,0.128,0.21,0.246,0.188,0.314,0.054,0.231
-0.387,0.228,0.128,0.204,0.247,0.182,0.315,0.054,0.226
-0.381,0.236,0.137,0.206,0.249,0.19,0.317,0.055,0.228
-0.38,0.231,0.131,0.202,0.251,0.185,0.313,0.056,0.223
-0.384,0.232,0.13,0.197,0.245,0.179,0.313,0.057,0.224
-0.387,0.224,0.131,0.19,0.244,0.178,0.306,0.057,0.217
-0.38,0.227,0.14,0.193,0.247,0.181,0.315,0.058,0.22
-0.381,0.229,0.134,0.189,0.243,0.177,0.312,0.06,0.216
-0.385,0.222,0.134,0.176,0.242,0.176,0.305,0.06,0.209
-0.387,0.216,0.134,0.17,0.236,0.169,0.305,0.051,0.209
-0.38,0.225,0.136,0.173,0.245,0.172,0.309,0.061,0.212
-0.384,0.22,0.138,0.168,0.24,0.174,0.304,0.063,0.208
